,estimator,DGP,dataset,mse,mab,length,coverage
0,DML OLS,0,0,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
1,DML OLS,0,1,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
2,DML OLS,0,2,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
3,DML OLS,0,3,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
4,DML OLS,0,4,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
5,DML OLS,0,5,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
6,DML OLS,0,6,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
7,DML OLS,0,7,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
8,DML OLS,0,8,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
9,DML OLS,0,9,0.021592298088889995,0.13324688901073167,0.5545516507257728,1.0
10,DML OLS,1,0,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
11,DML OLS,1,1,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
12,DML OLS,1,2,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
13,DML OLS,1,3,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
14,DML OLS,1,4,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
15,DML OLS,1,5,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
16,DML OLS,1,6,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
17,DML OLS,1,7,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
18,DML OLS,1,8,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
19,DML OLS,1,9,0.022036237924273668,0.13334357492661805,0.5605179673733954,1.0
20,DML OLS,2,0,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
21,DML OLS,2,1,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
22,DML OLS,2,2,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
23,DML OLS,2,3,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
24,DML OLS,2,4,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
25,DML OLS,2,5,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
26,DML OLS,2,6,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
27,DML OLS,2,7,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
28,DML OLS,2,8,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
29,DML OLS,2,9,0.01620274359591283,0.11041134321801467,0.515434003914053,1.0
