,estimator,DGP,dataset,mse,r2,mab
0,T OLS,0,0,2.813291081,-0.118455274,0.955858799
1,T OLS,0,1,2.85586804,-0.115498784,0.955858799
2,T OLS,0,2,3.201523819,-0.261031919,0.955858799
3,T OLS,0,3,3.101564174,-0.208770071,0.955858799
4,T OLS,0,4,3.194485606,-0.264795695,0.955858799
5,T OLS,0,5,3.186106667,-0.252364459,0.955858799
6,T OLS,0,6,3.418608694,-0.35295516,0.955858799
7,T OLS,0,7,3.267371938,-0.304549566,0.955858799
8,T OLS,0,8,3.164504462,-0.250631059,0.955858799
9,T OLS,0,9,2.685436478,-0.060096027,0.955858799
10,T OLS,1,0,1.754720187,-1.120282371,0.59761662
11,T OLS,1,1,1.750546685,-1.112523429,0.59761662
12,T OLS,1,2,2.098635532,-1.536542251,0.59761662
13,T OLS,1,3,2.122300395,-1.586927833,0.59761662
14,T OLS,1,4,2.083583569,-1.529236569,0.59761662
15,T OLS,1,5,2.063575621,-1.482547978,0.59761662
16,T OLS,1,6,2.376216598,-1.912437275,0.59761662
17,T OLS,1,7,2.35694479,-1.914665189,0.59761662
18,T OLS,1,8,2.178848673,-1.624005907,0.59761662
19,T OLS,1,9,1.678937143,-1.040730652,0.59761662
20,T OLS,2,0,25.10326382,0.264610896,3.599478558
21,T OLS,2,1,24.95608711,0.269846401,3.599478558
22,T OLS,2,2,25.39800338,0.255826616,3.599478558
23,T OLS,2,3,25.3616506,0.259118577,3.599478558
24,T OLS,2,4,25.13196132,0.264579152,3.599478558
25,T OLS,2,5,25.24277034,0.260962258,3.599478558
26,T OLS,2,6,25.3906095,0.255441873,3.599478558
27,T OLS,2,7,25.13604989,0.262696402,3.599478558
28,T OLS,2,8,25.325226,0.257010878,3.599478558
29,T OLS,2,9,24.93875405,0.270107785,3.599478558
30,T OLS,3,0,182.9255824,0.025042353,6.176427457
31,T OLS,3,1,182.8368054,0.027761492,6.176427457
32,T OLS,3,2,181.6553438,0.028876832,6.176427457
33,T OLS,3,3,182.3780263,0.02803343,6.176427457
34,T OLS,3,4,183.2793918,0.026273207,6.176427457
35,T OLS,3,5,184.3936531,0.029056572,6.176427457
36,T OLS,3,6,183.5217995,0.024850324,6.176427457
37,T OLS,3,7,180.2163103,0.027727702,6.176427457
38,T OLS,3,8,182.9279478,0.025626749,6.176427457
39,T OLS,3,9,182.477064,0.027824738,6.176427457
40,T OLS,4,0,7.889978457,0.151062692,2.014849394
41,T OLS,4,1,8.208825978,0.113672094,2.014849394
42,T OLS,4,2,8.214422608,0.117556341,2.014849394
43,T OLS,4,3,7.94005467,0.150704276,2.014849394
44,T OLS,4,4,7.937983324,0.146393397,2.014849394
45,T OLS,4,5,8.329319722,0.106906815,2.014849394
46,T OLS,4,6,8.521826686,0.077373337,2.014849394
47,T OLS,4,7,7.922700103,0.141897052,2.014849394
48,T OLS,4,8,8.556935926,0.077340541,2.014849394
49,T OLS,4,9,8.062411485,0.132873478,2.014849394
50,T OLS,5,0,4.518099439,0.432745812,1.376031272
51,T OLS,5,1,4.42374632,0.448176558,1.376031272
52,T OLS,5,2,4.839877602,0.392983716,1.376031272
53,T OLS,5,3,4.838929998,0.39933633,1.376031272
54,T OLS,5,4,4.667869311,0.417895569,1.376031272
55,T OLS,5,5,4.64762049,0.420069409,1.376031272
56,T OLS,5,6,4.962580669,0.379588933,1.376031272
57,T OLS,5,7,4.7973821,0.396496471,1.376031272
58,T OLS,5,8,4.750289649,0.406893091,1.376031272
59,T OLS,5,9,4.336929852,0.45707016,1.376031272
60,T OLS,6,0,2.310693652,-0.749969493,0.780242737
61,T OLS,6,1,2.222313785,-0.679916652,0.780242737
62,T OLS,6,2,2.631025291,-0.990385828,0.780242737
63,T OLS,6,3,2.580463088,-0.949660993,0.780242737
64,T OLS,6,4,2.511438431,-0.904857374,0.780242737
65,T OLS,6,5,2.564773939,-0.941354161,0.780242737
66,T OLS,6,6,2.824157064,-1.118540767,0.780242737
67,T OLS,6,7,2.724338123,-1.057362533,0.780242737
68,T OLS,6,8,2.546695482,-0.930858351,0.780242737
69,T OLS,6,9,2.127072502,-0.615465273,0.780242737
70,T OLS,7,0,2.666053478,0.499687225,0.921523925
71,T OLS,7,1,2.663720202,0.504104284,0.921523925
72,T OLS,7,2,2.914277168,0.455385292,0.921523925
73,T OLS,7,3,2.943644022,0.44997302,0.921523925
74,T OLS,7,4,2.909817975,0.45240851,0.921523925
75,T OLS,7,5,2.921329286,0.454284101,0.921523925
76,T OLS,7,6,3.280030487,0.385618145,0.921523925
77,T OLS,7,7,3.08126973,0.425319486,0.921523925
78,T OLS,7,8,2.947616956,0.448947985,0.921523925
79,T OLS,7,9,2.513302167,0.529836068,0.921523925
80,T OLS,8,0,7.070091873,-1.810793946,1.129523832
81,T OLS,8,1,7.777755995,-2.037982579,1.129523832
82,T OLS,8,2,11.22408628,-3.420998207,1.129523832
83,T OLS,8,3,6.400061531,-1.494290751,1.129523832
84,T OLS,8,4,9.974359366,-2.949157499,1.129523832
85,T OLS,8,5,8.553450243,-2.362108745,1.129523832
86,T OLS,8,6,25.30222263,-9.013656351,1.129523832
87,T OLS,8,7,8.844360001,-2.531249648,1.129523832
88,T OLS,8,8,9.089359909,-2.59216931,1.129523832
89,T OLS,8,9,8.980083346,-2.544954705,1.129523832
90,T RF,0,0,8.896756891,-2.537005015,1.455103502
91,T RF,0,1,9.106871204,-2.557133457,1.455103502
92,T RF,0,2,9.504383143,-2.743633093,1.455103502
93,T RF,0,3,8.884556624,-2.462570994,1.455103502
94,T RF,0,4,9.466462155,-2.748065277,1.455103502
95,T RF,0,5,10.0261112,-2.940968286,1.455103502
96,T RF,0,6,10.19495654,-3.034775632,1.455103502
97,T RF,0,7,9.359173976,-2.736797214,1.455103502
98,T RF,0,8,9.550894979,-2.774570726,1.455103502
99,T RF,0,9,9.220802592,-2.639980418,1.455103502
100,T RF,1,0,8.04723941,-8.723726885,1.236820322
101,T RF,1,1,8.403032266,-9.140605039,1.236820322
102,T RF,1,2,8.681294717,-9.492756129,1.236820322
103,T RF,1,3,8.202669711,-8.998450095,1.236820322
104,T RF,1,4,8.572368041,-9.405892548,1.236820322
105,T RF,1,5,9.170668578,-10.03260985,1.236820322
106,T RF,1,6,9.148947424,-10.21351291,1.236820322
107,T RF,1,7,8.543722025,-9.565410473,1.236820322
108,T RF,1,8,8.850790461,-9.659081898,1.236820322
109,T RF,1,9,8.56820205,-9.414560563,1.236820322
110,T RF,2,0,24.91488549,0.270129357,3.29448962
111,T RF,2,1,24.65080784,0.27877812,3.29448962
112,T RF,2,2,24.86554585,0.271427871,3.29448962
113,T RF,2,3,24.20199957,0.292995075,3.29448962
114,T RF,2,4,25.072679,0.266313893,3.29448962
115,T RF,2,5,24.79719575,0.274007436,3.29448962
116,T RF,2,6,25.31105613,0.257774708,3.29448962
117,T RF,2,7,24.53266499,0.2803952,3.29448962
118,T RF,2,8,25.19005843,0.260976412,3.29448962
119,T RF,2,9,24.01461452,0.297154936,3.29448962
120,T RF,3,0,186.4888635,0.00605076,6.103714172
121,T RF,3,1,187.2250289,0.004427022,6.103714172
122,T RF,3,2,185.395993,0.008879452,6.103714172
123,T RF,3,3,185.7564511,0.010028433,6.103714172
124,T RF,3,4,187.2402414,0.005230004,6.103714172
125,T RF,3,5,188.7262108,0.006243051,6.103714172
126,T RF,3,6,187.3184223,0.004676832,6.103714172
127,T RF,3,7,184.0332536,0.007135181,6.103714172
128,T RF,3,8,186.9404576,0.00425395,6.103714172
129,T RF,3,9,185.4888645,0.011778898,6.103714172
130,T RF,4,0,12.19567531,-0.312216989,2.058467507
131,T RF,4,1,12.25684869,-0.323403257,2.058467507
132,T RF,4,2,12.83980024,-0.379330094,2.058467507
133,T RF,4,3,11.69673601,-0.251123361,2.058467507
134,T RF,4,4,12.46377012,-0.340284558,2.058467507
135,T RF,4,5,13.33619761,-0.429944773,2.058467507
136,T RF,4,6,13.72551939,-0.48601123,2.058467507
137,T RF,4,7,12.19748218,-0.321102059,2.058467507
138,T RF,4,8,12.77557626,-0.37753822,2.058467507
139,T RF,4,9,12.25811159,-0.318381441,2.058467507
140,T RF,5,0,11.80782401,-0.482490084,1.954764539
141,T RF,5,1,12.00863525,-0.49797162,1.954764539
142,T RF,5,2,12.39100202,-0.554076491,1.954764539
